S.No.,Player Name,Club,Position,Total Attempts,On Target,Off Target,Blocked,Match Played
1,Benzema,Real Madrid,Forward,45,23,13,9,12
2,Salah,Liverpool,Forward,42,22,11,9,13
3,Mahrez,Man. City,Midfielder,37,18,8,11,12
4,Sané,Bayern,Midfielder,33,13,12,8,10
5,Lewandowski,Bayern,Forward,31,19,8,4,10
6,Luis Díaz,Porto,Forward,29,11,7,11,13
7,Martínez,Inter,Forward,28,7,10,11,8
8,Mbappé,Paris,Forward,27,16,6,5,8
9,Vinícius Júnior,Real Madrid,Forward,27,8,10,9,13
10,Havertz,Chelsea,Midfielder,26,11,9,6,9
11,Antony,Ajax,Forward,26,10,9,7,7
12,Messi,Paris,Forward,26,10,8,8,7
13,Danjuma,Villarreal,Midfielder,25,14,5,6,11
14,Džeko,Inter,Forward,25,12,6,7,7
15,Burak Yilmaz,LOSC,Forward,25,8,9,8,7
16,Haller,Ajax,Forward,24,15,8,1,8
17,De Bruyne,Man. City,Midfielder,24,7,9,8,10
18,Rodrygo,Real Madrid,Forward,23,10,7,6,11
19,Ronaldo,Man. United,Forward,22,12,8,2,7
20,Foden,Man. City,Midfielder,22,9,7,6,11
21,Zapata,Atalanta,Forward,22,8,7,7,6
22,André Silva,Leipzig,Forward,21,10,6,5,6
23,Mané,Liverpool,Midfielder,21,8,6,7,13
24,Gerard Moreno,Villarreal,Forward,21,6,9,6,7
25,Coman,Bayern,Forward,20,6,10,4,9
26,Gnabry,Bayern,Forward,18,8,6,4,8
27,Morata,Juventus,Forward,18,7,8,3,7
28,Nkunku,Leipzig,Midfielder,17,11,4,2,6
29,Sterling,Man. City,Forward,17,6,9,2,12
30,Taremi,Porto,Forward,17,3,10,4,6
31,Adeyemi,Salzburg,Forward,16,10,3,3,8
32,Paulinho,Sporting CP,Forward,16,8,7,1,8
33,Diogo Jota,Liverpool,Forward,16,7,4,5,11
34,Berghuis,Ajax,Forward,16,5,6,5,8
35,Goretzka,Bayern,Midfielder,16,3,7,6,6
36,Yaremchuk,Benfica,Forward,15,9,5,1,10
37,Reus,Dortmund,Midfielder,15,9,3,3,6
38,Núñez,Benfica,Forward,15,8,7,0,10
39,Perišić,Inter,Midfielder,15,4,7,4,8
40,Müller,Bayern,Forward,14,8,3,3,10
41,Modrić,Real Madrid,Midfielder,14,5,3,6,13
42,Keïta,Liverpool,Midfielder,14,2,8,4,10
43,Gündoğan,Man. City,Midfielder,14,2,4,8,10
44,Pedro Gonçalves,Sporting CP,Midfielder,13,7,3,3,5
