S.No.,Player Name,Club,Position,Goals,Right Foot,Left Foot,Headers,Others,Inside Box,Outside Box,Penalties,Matches Played
1,Benzema,Real Madrid,Forward,15,11,1,3,0,13,2,3,12
2,Lewandowski,Bayern,Forward,13,8,3,1,1,13,0,3,10
3,Haller,Ajax,Forward,11,3,4,3,1,11,0,1,8
4,Salah,Liverpool,Forward,8,0,8,0,0,7,1,1,13
5,Nkunku,Leipzig,Midfielder,7,3,1,3,0,7,0,0,6
6,Mahrez,Man. City,Midfielder,7,1,4,2,0,7,0,2,12
7,Mbappé,Paris,Forward,6,6,0,0,0,6,0,0,8
8,Núñez,Benfica,Forward,6,5,0,1,0,6,0,1,10
9,Ronaldo,Man. United,Forward,6,5,0,1,0,4,2,0,7
10,Danjuma,Villarreal,Midfielder,6,3,3,0,0,6,0,1,11
11,Sané,Bayern,Midfielder,6,1,5,0,0,3,3,0,10
12,Firmino,Liverpool,Midfielder,5,3,1,1,0,4,1,0,6
13,Mané,Liverpool,Midfielder,5,2,3,0,0,5,0,0,13
14,Rodrygo,Real Madrid,Forward,5,2,2,1,0,5,0,0,10
15,Messi,Paris,Forward,5,0,5,0,0,3,2,2,7
16,Jesus,Man. City,Forward,4,4,0,0,0,4,0,0,8
17,Werner,Chelsea,Forward,4,4,0,0,0,4,0,0,5
18,Pedro Gonçalves,Sporting CP,Midfielder,4,4,0,0,0,3,1,1,5
19,Vinícius Júnior,Real Madrid,Forward,4,3,1,0,0,4,0,0,13
20,Luis Díaz,Liverpool,Forward,4,2,1,1,0,4,0,0,13
21,Müller,Bayern,Forward,4,1,2,1,0,3,1,0,10
22,Griezmann,Atlético,Forward,4,0,4,0,0,4,0,0,9
23,Reus,Dortmund,Midfielder,3,3,0,0,0,3,0,2,6
24,Okafor,Salzburg,Midfielder,3,3,0,0,0,3,0,0,6
25,Vanaken,Club Brugge,Midfielder,3,3,0,0,0,3,0,0,6
26,Zapata,Atalanta,Forward,3,2,1,0,0,3,0,0,6
27,Burak Yılmaz,LOSC,Forward,3,2,1,0,0,2,1,1,7
28,Sterling,Man. City,Forward,3,2,1,0,0,2,1,0,12
29,Foden,Man. City,Midfielder,3,2,0,1,0,3,0,0,11
30,André Silva,Leipzig,Forward,3,2,0,1,0,3,0,0,6
31,Gnabry,Bayern,Forward,3,2,0,0,0,3,0,0,8
32,David,LOSC,Forward,3,1,2,0,0,3,0,1,8
33,Malen,Dortmund,Forward,3,1,2,0,0,3,0,0,6
34,Džeko,Inter,Forward,3,1,1,1,0,3,0,0,7
35,Adeyemi,Salzburg,Forward,3,0,3,0,0,3,0,2,8
36,Dybala,Juventus,Forward,3,0,3,0,0,3,0,2,5
37,Bernardo Silva,Man. City,Midfielder,3,0,3,0,0,3,0,0,11
38,Berghuis,Ajax,Forward,3,0,3,0,0,3,0,0,8
39,Paulinho,Sporting CP,Forward,3,0,3,0,0,1,2,0,8
